Comment Date,Comment
"Jul 30, 2023, 3:58:40 PM",Nice job! 
"Aug 5, 2023, 6:15:36 PM",Thank you Zane & Mother! 
"Sep 17, 2023, 6:54:20 PM","Garnet hill AND the highway one, big day "
"Oct 3, 2023, 1:18:58 PM",@n@hb@hna@n@n@hm@n@n@na@hnh@na@h
"Dec 5, 2023, 7:16:43 PM",This is pretty sweet
"Feb 7, 2024, 2:03:26 PM",Ofc Jack is shirtless 
"Mar 8, 2024, 7:33:52 PM",Was the whole run disappointing?
"Mar 17, 2024, 1:48:38 PM",Lets go!! 
"Mar 17, 2024, 1:49:04 PM",Lets goo!!! 
"Apr 6, 2024, 4:56:48 PM",Oh it was absolutely all their fault 
"Apr 14, 2024, 6:09:28 PM",What a day to run in circles 
"Apr 15, 2024, 4:40:27 PM",Nice circles! 
"Apr 15, 2024, 11:15:39 PM",You are telling me this bike ride was not on the way to a customer facing event??? 
"Apr 19, 2024, 1:39:37 PM",Two runs today! What happens here 
"Apr 21, 2024, 12:42:12 PM",Fantastic circles 
"Apr 27, 2024, 3:06:46 PM",Good luck tomorrow!!
"May 16, 2024, 2:15:17 PM",This is hub day dedication 
"May 23, 2024, 2:06:46 PM",eyy lets go!!
"Jun 1, 2024, 4:40:16 PM","Haha it’s ok, thank you! Fingers crossed it’s not too bad "
"Jun 5, 2024, 6:06:59 PM",Get back to work 
"Jul 11, 2024, 1:04:00 PM",🏃‍♀️🏃‍♀️🏃‍♀️
"Jul 29, 2024, 3:20:37 PM",Lovely circles 
"Aug 4, 2024, 2:42:42 PM","Haha, I had this exact urge along the east river "
"Aug 19, 2024, 10:52:13 AM",Do you ever stop traveling 
"Aug 26, 2024, 12:29:43 PM",Animal 
"Aug 30, 2024, 2:01:13 PM",Personal t&e > sfs 
"Aug 30, 2024, 2:01:52 PM",I want your life 
"Aug 31, 2024, 8:25:50 PM",No pics today???
"Sep 3, 2024, 12:31:49 AM",Why no hills???
"Sep 3, 2024, 1:08:34 PM","🥱💤💤, my bed was way comfier this morning "
"Sep 5, 2024, 1:08:37 PM",🥱
"Sep 12, 2024, 9:26:37 PM",Congrats! This is awesome 
"Sep 12, 2024, 10:02:05 PM",I finished mine! AND I’m presenting 
"Sep 19, 2024, 9:18:50 PM",Bronx 10 won’t know what him em 
"Sep 23, 2024, 4:26:14 PM",That’s not Brooklyn 
"Sep 26, 2024, 1:50:52 PM",Hola
"Sep 29, 2024, 12:27:46 PM",Let’s goo!! Amazing 
"Oct 9, 2024, 4:26:11 PM",Oh yea? 
"Oct 13, 2024, 2:26:43 PM", Crushed it 💪
