Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Commute,Filename,Elapsed Time.1,Moving Time,Distance.1,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Prefer Perceived Exertion,Commute.1,From Upload,Grade Adjusted Distance,Flagged,Average Elapsed Speed,Dirt Distance
8360989043,"Jan 8, 2023, 9:27:04 PM",Afternoon Run,Run,,2327,8.07,False,activities/8360989043.gpx,2327.0,2324.0,8070.0,6.518,3.472,55.5,52.0,11.0,38.6,19.0,0.0,,0.0,1.0,8156.2,0.0,3.468,1526.7
8382499638,"Jan 12, 2023, 10:28:34 PM",Evening Run,Run,,2211,8.09,False,activities/8382499638.gpx,2211.0,2209.0,8098.5,5.742,3.666,61.0,57.5,19.3,39.4,6.5,0.0,,0.0,1.0,8180.7,0.0,3.663,229.5
8387481516,"Jan 13, 2023, 11:07:14 PM",Stair Master ,Stair-Stepper,"537 Cal, 242 FloorS",2700,0.0,False,,2700.0,2700.0,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
8391935526,"Jan 14, 2023, 6:06:36 PM",Afternoon Activity,Run,3.44M,1397,0.0,False,activities/8391935526.gpx,1397.0,1397.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0
8392005724,"Jan 14, 2023, 6:30:41 PM",Afternoon Run,Run,,984,4.12,False,activities/8392005724.gpx,984.0,983.0,4125.5,5.47,4.197,34.0,33.5,19.9,38.6,7.9,0.0,,0.0,1.0,4165.6,0.0,4.193,0.0
8435502798,"Jan 22, 2023, 6:30:11 PM",Afternoon Run,Run,,2374,9.9,False,activities/8435502798.gpx,2374.0,2374.0,9902.1,5.876,4.171,83.2,82.8,9.5,38.6,6.9,0.0,,0.0,1.0,10007.4,0.0,4.171,0.0
8457507913,"Jan 26, 2023, 10:17:40 PM",Afternoon Run,Run,,2469,8.1,False,activities/8457507913.gpx,2469.0,2432.0,8103.0,5.598,3.332,43.6,41.5,17.6,38.6,13.2,0.0,,0.0,1.0,8203.8,0.0,3.282,2756.6
8490201954,"Feb 1, 2023, 10:06:28 PM",Afternoon Run,Run,,2455,8.35,False,activities/8490201954.gpx,2455.0,2411.0,8356.9,6.326,3.466,54.6,54.3,13.7,40.6,28.6,0.0,,0.0,1.0,8474.2,0.0,3.404,44.4
8511256684,"Feb 5, 2023, 4:59:52 PM",Lunch Run,Run,,2703,10.15,False,activities/8511256684.gpx,2703.0,2701.0,10149.8,5.494,3.758,87.6,84.9,9.5,35.1,10.8,0.0,,0.0,1.0,10272.0,0.0,3.755,712.8
8523708055,"Feb 7, 2023, 10:58:01 PM",Evening Run,Run,,3170,9.28,False,activities/8523708055.gpx,3170.0,3000.0,9282.4,4.926,3.094,61.5,58.2,11.0,37.4,14.4,0.0,,0.0,1.0,9397.6,0.0,2.928,1511.1
8534911983,"Feb 9, 2023, 11:35:22 PM",Evening Run,Run,,2666,7.66,False,activities/8534911983.gpx,2666.0,2249.0,7666.6,7.782,3.409,47.0,47.7,16.0,37.4,14.0,0.0,,0.0,1.0,7745.2,0.0,2.876,2662.7
8556964537,"Feb 13, 2023, 10:48:21 PM",Evening Run,Run,,3107,9.58,False,activities/8556964537.gpx,3107.0,2967.0,9583.7,7.236,3.23,63.8,61.6,11.0,35.1,11.8,0.0,,0.0,1.0,9679.2,0.0,3.085,0.0
8577852252,"Feb 15, 2023, 10:28:26 PM",Afternoon Run,Run,,167582,9.05,False,activities/8577852252.gpx,167582.0,2569.0,9056.3,7.325,3.525,59.2,56.7,11.0,37.3,20.3,0.0,,0.0,1.0,9150.0,0.0,0.054,1571.8
